Date,Open,High,Low,Close,Adj Close,Volume
2015-05-20,1.700000,1.700000,1.700000,1.700000,1.700000,0
2015-05-21,2.800000,2.874000,2.411000,2.568000,2.568000,123039000
2015-05-22,2.607000,3.110000,2.600000,2.831000,2.831000,28412000
2015-05-26,2.980000,3.034000,2.908000,2.965000,2.965000,8202000
2015-05-27,3.067000,3.081000,2.700000,2.750000,2.750000,7976000
2015-05-28,2.755000,2.774000,2.648000,2.745000,2.745000,4000000
2015-05-29,2.725000,2.738000,2.687000,2.720000,2.720000,2554000
2015-06-01,2.720000,2.744000,2.660000,2.733000,2.733000,2569000
2015-06-02,2.747000,2.747000,2.665000,2.695000,2.695000,3798000
2015-06-03,2.676000,2.750000,2.650000,2.744000,2.744000,3024000
2015-06-04,2.742000,2.749000,2.551000,2.678000,2.678000,3226000
2015-06-05,2.666000,2.739000,2.610000,2.739000,2.739000,1294000
2015-06-08,2.690000,2.748000,2.682000,2.698000,2.698000,2809000
2015-06-09,2.664000,2.846000,2.664000,2.834000,2.834000,3375000
2015-06-10,2.845000,2.888000,2.795000,2.810000,2.810000,2734000
2015-06-11,2.849000,3.073000,2.849000,3.073000,3.073000,4606000
2015-06-12,3.132000,3.370000,3.125000,3.363000,3.363000,8474000
2015-06-15,3.397000,3.812000,3.292000,3.550000,3.550000,16943000
2015-06-16,3.606000,3.837900,3.584000,3.811000,3.811000,11095000
2015-06-17,3.963000,4.213000,3.801000,3.863000,3.863000,15952000
2015-06-18,3.842000,3.889000,3.432600,3.555000,3.555000,11482000
2015-06-19,3.633000,3.674000,3.255000,3.552000,3.552000,9797000
2015-06-22,3.676000,3.850000,3.609000,3.694000,3.694000,7922000
2015-06-23,3.775000,3.810000,3.517000,3.543000,3.543000,2939000
2015-06-24,3.512000,3.742900,3.414000,3.596000,3.596000,5644000
2015-06-25,3.634000,3.650000,3.480000,3.484000,3.484000,2082000
2015-06-26,3.487000,3.532000,3.263000,3.352000,3.352000,3465000
2015-06-29,3.252000,3.351000,3.120000,3.132000,3.132000,3155000
2015-06-30,3.150000,3.444000,3.150000,3.395000,3.395000,4733000
2015-07-01,3.403000,3.497000,2.988000,3.111000,3.111000,10126000
2015-07-02,3.151000,3.173000,3.062000,3.131000,3.131000,3032000
2015-07-06,3.107000,3.174000,3.038000,3.053000,3.053000,1493000
2015-07-07,3.047000,3.083000,2.850000,3.076000,3.076000,3489000
2015-07-08,3.002000,3.036000,2.903000,2.919000,2.919000,1869000
2015-07-09,2.973000,3.038000,2.880000,2.906000,2.906000,2491000
2015-07-10,2.932000,3.029000,2.910000,2.960000,2.960000,2805000
2015-07-13,2.985000,3.099000,2.976000,3.042000,3.042000,2201000
2015-07-14,3.078000,3.132700,3.050000,3.086000,3.086000,1455000
2015-07-15,3.089000,3.101000,2.891000,2.934000,2.934000,3570000
2015-07-16,2.906000,2.987000,2.893100,2.939000,2.939000,1482000
2015-07-17,2.932000,3.235000,2.915000,3.227000,3.227000,16198000
2015-07-20,3.237000,3.393000,3.164100,3.375000,3.375000,4140000
2015-07-21,3.395000,3.466000,3.209000,3.322000,3.322000,4148000
2015-07-22,3.299000,3.349000,3.136000,3.214000,3.214000,2556000
2015-07-23,3.259000,3.443000,3.258000,3.311000,3.311000,2655000
2015-07-24,3.345000,3.475000,3.324000,3.357000,3.357000,3577000
2015-07-27,3.340000,3.395000,3.205000,3.287000,3.287000,2005000
